Inde #,Group,Company Name,Chemistry_Detail,Chemistry,Format,Part #,Cell Status,Cell Shape,Cycle Life,Last Cycle % OF Initial Capacity,vol. Energy Density (Wh/l),grav. Energy Density (Wh/kg),Ma Capacity (AH),Open Circuit Voltage (V),Nominal Voltage (V),Cut Off Voltage (V),Standard Discharge Current (A),Ma Constant Discharge Current (A),Crate_discharge_cyclelife,Weight (gr),Volume (CC),Fast/Quick Charge Current,Standard Charge Current (A),Crate_charge_cyclelife,t_rest_h,Length (mm),Height (mm),Width (mm),Diameter (mm),Jahr,Datenblatt,Sekundärquelle,ID / Date,Anmerkung,Charging Methode,Crate_CV_cutoff,t_cycle_DOD
ISI142,ISI142,LG Chem,Nickel rich,,Pouch,E63,Active,Prismatic,1000,80,,,65.6,4.2,3.6,2.5,32.8,65.6,0.5,964,,65.6,21.648,0.33,,325,11.5,125,,2018,,,26.02.2018,@25°C Room,CCCV,,
ISI143a,ISI143,Samsung,Nickel rich,,Cylindrical,INR2170048,Active,Cyl,1500,70,,,4.8,4.2,3.6,2.5,0.96,4.8,1,72,,4.8,1.584,1,,,70,,21,,,,2020,,CCCV,,80%
ISI143b,ISI143,Samsung,Nickel rich,,Cylindrical,INR2170048,Active,Cyl,500,70,,,4.8,4.2,3.6,2.5,0.96,4.8,1,72,,4.8,1.584,1,,,70,,21,,,,2020,,CCCV,,100%
ISI144,ISI144,LG Chem,Nickel rich,,Pouch,E63B,Active,Prismatic,1200,65,,,63,4.2,3.6,2.5,31.5,63,1,882,,63,18.9,0.33,,301,14.5,100,,2018,,,,@25°C Room,CCCV,,
ISI145,ISI145,LG Chem,Nickel rich,NMC712,Pouch,E78,Active,Prismatic,1500,80,,265,78,4.2,3.6,2.5,23.4,78,0.33,965,,78,23.4,0.33,,530,8.5,100,,2021,,,2022,@25°C Room,CCCV,,
ISI146,ISI146,A123,Lithium Iron Phosphate,LFP,Pouch,A123 20AH,Active,Prismatic,1000,80,,,20,3.65,3.3,2.5,4,20,,496,,20,4,,,227,7.25,160,,,,,,,CCCV,,
ISI147,ISI147,LG Chem,Nickel rich,NMC,Pouch,N2.1,Active,Prismatic,1000,80,,265,60,4.2,3.6,2.5,12,120,0.33,820,,60,12,0.33,,330,16.5,100,,2020,,,,@25°C Room,CCCV,,
ISI148,ISI148,CALB,Lithium Iron Phosphate,LFP,Prismatic,CA400,Active,Prismatic,2000,80,,,400,3.65,3.2,2.5,120,800,0.3,13600,,400,120,0.3,,450,71,275,,,,,,,CCCV,,80%
ISI149,ISI149,CALB,Lithium Iron Phosphate,LFP,Prismatic,CAM72,Active,Prismatic,2000,80,,,72,3.65,3.2,2.5,21.6,216,0.3,1900,,72,21.6,0.3,,68,29,216,,,,,,,CCCV,,80%
ISI150,ISI150,Melasta,Lithium Iron Phosphate,LFP,Prismatic,MBLFP32173128,Active,Prismatic,2000,80,,,60,3.65,3.2,2,12,180,0.2,1410,,120,12,0.2,,173,32,124,,,,,,,CCCV,0.02,80%
ISI151,ISI151,Melasta,Lithium Iron Phosphate,LFP,Cylindrical,MBIFR26650,Active,Cyl,2000,80,,,3.8,3.65,3.2,2,0.76,11.4,0.2,92,,3.8,0.76,0.2,,,65.2,,26.5,,,,,,CCCV,0.02,80%
ISI152,ISI152,Melasta,Nickel rich,NMC,Pouch,SLPBB042126,Active,Prismatic,100,80,,,6.55,4.2,3.7,2.5,1.31,98.25,15,126,,13.1,1.31,0.5,,127,10.2,42,,,,,,,CCCV,0.02,80%
ISI153,ISI153,Kokam,Nickel rich,NMC,Pouch,SLPB70205130P,Active,Prismatic,1400,80,,,12,4.2,3.7,2.7,12,180,0.5,345,,36,12,0.5,,208,130,7,,2011,,,28.04.2011,,CCCV,0.05,80%
ISI154,ISI154,Saft,,,Prismatic,INT 176065 ISR FL,Active,Prismatic,2250,,,,5.6,4.2,3.65,2.5,2.8,11,0.5,155,,5.6,5.6,1,,63,74,20.6,,2020,,,122.020,,CCCV,,100%
ISI155,ISI155,Saft,,,Prismatic,MP 144350 LR,Active,Prismatic,1100,,335,142,2.6,4.2,3.65,2.5,1.3,5,0.5,66,,2.6,2.6,1,,42.9,50.1,14.5,,2018,,,42.018,,CCCV,,100%
ISI156,ISI156,Saft,,,Prismatic,MP 176065 ISE,Active,Prismatic,1000,,264,150,5.6,4.2,3.65,2.5,2.8,11,0.5,135,,5.6,5.6,0.5,,60.5,68.7,19.05,,2019,,,72.009,,CCCV,,100%
ISI157a,ISI157,Gaia,Nickel rich,NCA,Cylindrical,HP 602030,Active,Cyl,1000,80,282,108,45,4.2,3.6,3,90,450,0.5,1500,,180,45,0.5,,,232,,60,2009,,,62.009,,CCCV,,80%
ISI157b,ISI157,Gaia,Nickel rich,NCA,Cylindrical,HP 602030,Active,Cyl,2000,60,282,108,45,4.2,3.6,3,90,450,0.5,1500,,180,45,0.5,,,232,,60,2009,,,62.009,,CCCV,,60%
ISI158,ISI158,Keeppower,,,Cylindrical,NH2140,Active,Cyl,500,70,,,4,4.2,3.7,2.5,0.8,35,,69,,4,0.05,,,,70.3,,21.5,,,,,,CCCV,,
ISI159a,ISI159,Panasonic,,,Cylindrical,NCR18650BF,Active,Cyl,500,80,677,248,3.35,4.2,3.6,2.5,3.25,3.25,1,46.5,,1.625,1.625,0.5,,,65.1,,18.24,,,,,,CCCV,0.02,
ISI159b,ISI159,Panasonic,,,Cylindrical,NCR18650BF,Active,Cyl,500,80,600,219,2.965,4.1,3.6,2.5,3.25,3.25,1,46.5,,1.625,1.625,0.5,,,65.1,,18.24,,,,,,CCCV,0.02,
ISI160a,ISI160,Panasonic,Nickel rich,NCA,Prismatic,NCA596080,Active,Prismatic,300,80,506,212,4.179,4.2,3.6,2.75,3.94,3.94,0.5,67,,2.758,2.758,0.8,,60,80,5.85,,,,,,,CCCV,,
ISI160b,ISI160,Panasonic,Nickel rich,NCA,Prismatic,NCA596080,Active,Prismatic,300,80,506,212,3.95,4.2,3.6,2.75,3.94,3.94,0.5,67,,2.758,2.758,0.8,,60,80,5.85,,,,,,,CCCV,,
ISI161,ISI161,Samsung,Nickel rich,NMC,Cylindrical,INR2170030T,Active,Cyl,250,60,,,3,4.2,3.6,2.5,0.6,35,12,69,,4,1.5,1.5,,,70.3,,21.22,,,,Version No. 2.0,,CCCV,,
